repository,commit_sha,commit_date,commit_title,commit_message,commit_author,additions,deletions,total_changes
ros-planning/navigation2,add09f60b17f6134416122f8285eba7268d275d7,2024-12-04T02:41:25Z,Migrating twist to twiststamped in simulations for recommended default bringups (#4779),"* migrating from twist to twiststamped

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* bump ci cache for updated TB4 sim files

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* fixing collision monitor, velocity smoother unit tests

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* fix assisted teleop test

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* fixing docking server smoke test

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* bust nav2 minimal tb sim cache

---------

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,40,34,74
ros-planning/navigation2,9284c8a9969947b99e821e0c85768cca886920ce,2024-12-04T01:30:34Z,Make RecoveryNode return Running (#4777),"* Add IsStoppedBTNode

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* add topic name + reformat

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix comment

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix abs

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* remove log

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* add getter functions for raw twist

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* remove unused code

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* use odomsmoother

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix formatting

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* update groot

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Add test

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* reset at success

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* FIX velocity_threshold_

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Fix stopped Node

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Add tests  to odometry_utils

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix linting

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Make RecoveryNode return RUNNING

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* PR review

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* add halt at the end

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

---------

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>",tonynajjar,76,71,147
ros-planning/navigation2,3ee384df622ed964680452dcd53da6d0e9a15514,2024-12-03T01:55:55Z,Simplify namespaced bringups and multirobot sim (#4715),"* WIP single robot namespacing working

Signed-off-by: Luca Della Vedova <lucadellavr@gmail.com>

* Remove manual namespace substitution

Signed-off-by: Luca Della Vedova <lucadellavr@gmail.com>

* Remove all multirobot specific configs

Signed-off-by: Luca Della Vedova <lucadellavr@gmail.com>

* Refactor parsing function to common, add for rest of layers

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Fix dwb_critics test

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Add alternative API for costmap construction

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Address review feedback

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Remove remaining usage of `use_namespace` parameter

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Always join with parent namespace

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Use private parameter for parent namespace

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Fix integration test

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Revert ""Use private parameter for parent namespace""

This reverts commit 0c958dc994f5e618fef2471c0851a2bc3b19b1d5.

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Revert ""Fix integration test""

This reverts commit 137d57759b700f00c7548b997abcc8dc36d9cca9.

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Remove global map_topic parameter

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

* Simplify Costmap2DROS constructor

Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>

---------

Signed-off-by: Luca Della Vedova <lucadellavr@gmail.com>
Signed-off-by: Luca Della Vedova <lucadv@intrinsic.ai>",luca-della-vedova,146,1613,1759
ros-planning/navigation2,bea6b6d125b3ffeb2f1e440ae2afda8ada5834a4,2024-12-02T20:54:08Z,Add IsStoppedBTNode (#4764),"* Add IsStoppedBTNode

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* add topic name + reformat

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix comment

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix abs

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* remove log

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* add getter functions for raw twist

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* remove unused code

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* use odomsmoother

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix formatting

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* update groot

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Add test

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* reset at success

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* FIX velocity_threshold_

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Fix stopped Node

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Add tests  to odometry_utils

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix linting

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

---------

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>",tonynajjar,407,5,412
ros-planning/navigation2,dc26fa46d9240763af0cfc17f5b8a124f085eb41,2024-11-27T00:27:52Z,Use BT.CPP Tree::sleep (#4761),"* Use BT.cpp sleep

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Implement BT Loop Rate

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Fix formatting

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Fix formatting

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* move to nav2_behavior_tree

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix lint

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* cache

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

---------

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>",tonynajjar,89,5,94
ros-planning/navigation2,90a6c8d80096469a22e1a56e5447d58fb8e66ef6,2024-11-21T19:20:02Z,Added collision detection for docking (#4752),"* Added collision detection for docking

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Minor fixes

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Improve collision  while undocking and test

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Fix smoke testing

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Rename dock_collision_threshold

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Added docs and params

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Minor changes in README

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

---------

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>",ajtudela,717,33,750
ros-planning/navigation2,f45d05b809064f27ecd9d141043a01fd8b41f063,2024-11-21T15:27:08Z,mppi parameters_handler: Improve verbose handling (#4704) (#4711),"* mppi parameters_handler: Improve verbose handling (#4704)

The ""verbose"" parameter of the parameters_handler is
a special case that needs registration before the
dynamic parameter handler callback is registered.

In verbose mode make the parameter handler info/warn/debug
messages more expressive.

Signed-off-by: Mike Wake <michael.wake@aosgrp.com.au>

* Address review comments. (#4704)

* remove comments.
* Use RCLCPP_DEBUG instead of INFO for low level messages.
* Add test for trying to access parameters that are not declared.

Signed-off-by: Mike Wake <michael.wake@aosgrp.com.au>

* mppi parameters_handler: Improve static/dynamic/not defined logging (#4704)

Attempts to change undefined parameters will not be successful
and will log an error.

Attempts to change static parameters will be ignored, a debug
message is logged if a change in parameters is attempted.

Signed-off-by: Mike Wake <michael.wake@aosgrp.com.au>

* mppi parameters_handler: populate SetParametersResult (#4704)

Provide a mechanism to populate an rcl_interfaces::msg::SetParametersResult
with the reasons for unsuccessful parameter setting, so that it may be
propogated back to a set parameter client.

The mechanism provides feedback when attempting to set undefined
parameters, static parameters and could be used to validate dynamic
parameters and provide a reason for rejection.

NOTE: This changes public interface of ParametersHandler class.
s/setDynamicParamCallback/setParamCallback
s/addDynamicParamCallback/addParamCallback which takes
a callback function that is able to populate a
rcl_interfaces::msg::SetParametersResult.

In order to indicate an unsuccessful parameter change and the
reason, callback functions should append a ""\n""
to the reason before appending to if it is not empty.

Signed-off-by: Mike Wake <michael.wake@aosgrp.com.au>

* mppi parameters_handler: fix reason handling and improve tests

Signed-off-by: Mike Wake <michael.wake@aosgrp.com.au>

---------

Signed-off-by: Mike Wake <michael.wake@aosgrp.com.au>",aosmw,182,34,216
ros-planning/navigation2,e52ea5d73bc3e081cecc2fb86d379e44b2e7b080,2024-11-18T19:32:31Z,nav2_costmap_2d: add missing default_value_ copy in Costmap2D operator= (#4753),"default_value_ is an attribute of the Costmap2D class and should be
copied along with the other attributes.

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>",DylanDeCoeyer-Quimesis,1,0,1
ros-planning/navigation2,f426bdaadaa1a124bea0da5f32961cef6d679ae2,2024-11-11T21:22:11Z,"Pass IDLE to on_tick, use that for initialize condition (#4744)","* Pass IDLE to on_tick, use that for initialize condition

Signed-off-by: redvinaa <redvinaa@gmail.com>

* Fix battery sub creation bug

Signed-off-by: redvinaa <redvinaa@gmail.com>

---------

Signed-off-by: redvinaa <redvinaa@gmail.com>",redvinaa,47,86,133
ros-planning/navigation2,fbd1d3e7964dc220c0861d5e8bdcfcc7b9ec2812,2024-11-07T17:30:11Z,[map_io] Replace std logs by rclcpp logs (#4720),"* replace std logs by rclcpp logs

Signed-off-by: Guillaume Doisy <guillaume@dexory.com>

* RCLCPP_DEBUG to RCLCPP_INFO for visibility

Signed-off-by: Guillaume Doisy <guillaume@dexory.com>

---------

Signed-off-by: Guillaume Doisy <guillaume@dexory.com>
Co-authored-by: Guillaume Doisy <guillaume@dexory.com>",doisyg,87,63,150
ros-planning/navigation2,4b413204e87fa67db9a7754da93b29b946b25e06,2024-11-07T15:51:45Z,Updating error logging in Smac collision detector object (#4743),"* Updating error logging in Smac configs

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* linting

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,12,12,24
ros-planning/navigation2,6b2e244bf501e3a97d5dbc36eab09ed4ed949926,2024-11-06T15:49:57Z,Fix missing dependency on nav2_costmap_2d (#4742),Signed-off-by: Ryan Friedman <25047695+Ryanf55@users.noreply.github.com>,Ryanf55,2,0,2
ros-planning/navigation2,be73c241e8c7e27cbbf929b40d98ebf67303b873,2024-11-06T15:48:55Z,Fix incorrect doxygen comment (#4741),Signed-off-by: Ryan Friedman <25047695+Ryanf55@users.noreply.github.com>,Ryanf55,1,2,3
ros-planning/navigation2,a64dde1fb147c23e4131606ace3e862190992f1f,2024-11-04T18:59:38Z,Remove nav2_loopback_sim dependency on transforms3d. (#4738),"The package never uses it, so don't declare it.

Signed-off-by: Chris Lalancette <clalancette@gmail.com>",clalancette,0,1,1
ros-planning/navigation2,0db5f0708193fd3319c24b4f0781e9d0b863d67e,2024-11-04T18:09:55Z,"[loopback_sim] Publish clock, [nav2_costmap_2d] Fix Qos (#4726)","* Publish /clock from loopback sim

Signed-off-by: Adi Vardi <adi.vardi@enway.ai>

* [nav2_costmap_2d] Fix obstacle_layer trying to use RELIABLE QoS

Use QoS profile from rclcpp::SensorDataQoS() instead of rmw_qos_profile_t.
This solves an issue where the subscriber uses RELIABLE setting even when initialized from rmw_qos_profile_sensor_data.
In addition the Subscriber(..., rmw_qos_profile_t) constructor is deprecated in favor of Subscriber(..., rclcpp::QoS)

Signed-off-by: Adi Vardi <adi.vardi@enway.ai>

* [nav2_smac_planner] fix typos

Signed-off-by: Adi Vardi <adi.vardi@enway.ai>

* Use single quotes

Signed-off-by: Adi Vardi <adi.vardi@enway.ai>

---------

Signed-off-by: Adi Vardi <adi.vardi@enway.ai>",adivardi,37,21,58
ros-planning/navigation2,44a69ccde93514ed1a962b7f18cb101ec671d93a,2024-10-17T16:16:50Z,[RotationShimController] fix: rotate to goal heading (#4724),"Add frame_id to goal when rotating towards goal heading, otherwise the
transform would fail. This bug was introduced in 30e2cde by not setting
the frame_id.

Signed-off-by: agennart <antoine.gennart@quimesis.be>
Co-authored-by: agennart <antoine.gennart@quimesis.be>",gennartan,1,0,1
ros-planning/navigation2,c7ef3be69339bfa13ab76f74ecce5e7b70ae9b3f,2024-10-16T20:39:12Z,Added parameter `rotate_to_heading_once` (#4721),Signed-off-by: Daniil Khaninaev <khaninaev@yahoo.com>,ikhann,84,3,87
ros-planning/navigation2,682e08915d0c2cc3fa3ad1bac110dc72590732db,2024-10-15T21:32:08Z,Improve Docking panel (#4717),"* Added load and save panel

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Improved dock_panel state machine

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Added loading dock plugins log

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Redo UI

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Update tooltips

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

* Fix null-dereference

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>

---------

Signed-off-by: Alberto Tudela <ajtudela@gmail.com>",ajtudela,317,112,429
ros-planning/navigation2,fa9aaa935c5eae3dbcbd3f6a9652afbcde57f3f4,2024-10-15T17:55:35Z,[RotationShimController] fix: rotate on short paths (#4716),"Add header data to goal for short paths.

Commit d8ae3c1f9b8233e86ed54dfbe615b1ba56b51b6d added the possibility to
the rotation shim controller to rotate towards the goal when the goal
was closer that the `forward_sampling_distance`. This feature was not
fully working as the goal was missing proper header data, causing the
rotation shim to give back control to the main controller.

Co-authored-by: agennart <antoine.gennart@quimesis.be>",gennartan,4,1,5
ros-planning/navigation2,6311978e0902b807a05883b3764e72f731d446f8,2024-10-08T02:06:49Z,fix: handle transition failures in all servers (#4708),"* fix: handle transition failures in planner/controller/smoother servers

Signed-off-by: Kemal Bektas <kemal.bektas@node-robotics.com>

* adding support for rest of servers + review comments

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* Replacing throws with error and failed lifecycle transitions

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* fix vel smoother unit tests

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* fixing docking server unit testing

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* fixing last bits

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: Kemal Bektas <kemal.bektas@node-robotics.com>
Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>
Co-authored-by: Kemal Bektas <kemal.bektas@node-robotics.com>",SteveMacenski,117,33,150
ros-planning/navigation2,4e62a89d01aeb3cc88562a559cd142688305272b,2024-10-04T00:03:07Z,Feat/migrate gps nav2 system test (#4682),"* include missing docking station parameters

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>

* fix crach RL

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>

* lintering

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>

* Change naming

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>

* update submodule

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>

* minor changes

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>

* fix issue with caching

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>

* fix issue with caching, increase version number

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>

* Pin git ref via sha to bust underlay workspace cache

---------

Signed-off-by: stevedan <stevedan.o.omodolor@gmail.com>
Co-authored-by: ruffsl <roxfoxpox@gmail.com>",stevedanomodolor,193,121,314
ros-planning/navigation2,1a3b637d90484a3d6cac5e2cd75836df8518a32b,2024-10-03T18:39:25Z,Fixing SGF in MPPI and Smoother (#4669),Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>,SteveMacenski,63,182,245
ros-planning/navigation2,406a2f563542453f71b701078aa023ac44350b6b,2024-10-02T19:00:58Z,Switch nav2_waypoint_follower to modern CMake idioms. (#4648),Signed-off-by: Chris Lalancette <clalancette@gmail.com>,clalancette,141,81,222
ros-planning/navigation2,fc7e08611a453889feb112bc4c2160687d320a91,2024-10-02T18:25:37Z,Adding disengagement threshold to rotation shim controller (#4699),"* adding disengagement threshold to rotation shim controller

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* change default to 22.5 deg

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,14,4,18
ros-planning/navigation2,3233c84fe91a37f03aabe43a8d906dd1c46356b7,2024-10-01T22:13:50Z,Added missing action clients in robot_navigator(BasicNavigator) to destroy_node (#4698),"* fix: added assisted_teleop_client to robot_navigator(BasicNavigator) destroy_node

Signed-off-by: Tiwa Ojo <tiwa@reindeere.ca>

* fix: added other missing action clients to robot_navigator(BasicNavigator) destroy_node

Signed-off-by: Tiwa Ojo <tiwa@reindeere.ca>

---------

Signed-off-by: Tiwa Ojo <tiwa@reindeere.ca>",tiwaojo,4,0,4
ros-planning/navigation2,81739bfdcdeac4984c6f9229feadc2d5f04163eb,2024-09-30T20:50:30Z,Correct paper name for graceful controller,Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>,SteveMacenski,1,1,2
ros-planning/navigation2,0ffc0fbd0d5f8ac532dc37f3d02697dc3045333d,2024-09-26T13:50:13Z,Improvements in RemoveInCollisionGoals and adjacent features (#4676),"* improvements

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* ament_uncrustify

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Fix formatting

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix building

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fixes

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* add stamp

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

---------

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>",tonynajjar,62,42,104
ros-planning/navigation2,5dd7ad106986914cef2f25e3ab39fb976c869456,2024-09-20T19:12:57Z,feat(controller-server): `publish_zero_velocity` parameter (#4675),"* feat(controller-server): `publish_zero_velocity` parameter

For optionally publishing a zero velocity command reference on goal
exit. Publishing a zero velocity is not desired when we are following
consecutive path segments that end with a velocity.

Signed-off-by: Rein Appeldoorn <rein.appeldoorn@nobleo.nl>

* processed comments

Signed-off-by: Rein Appeldoorn <rein.appeldoorn@nobleo.nl>

* comments Steve

Signed-off-by: Rein Appeldoorn <rein.appeldoorn@nobleo.nl>

---------

Signed-off-by: Rein Appeldoorn <rein.appeldoorn@nobleo.nl>",reinzor,25,11,36
ros-planning/navigation2,d4c3faa23037417b5b520373a7a6fa31a0585a9b,2024-09-20T18:41:15Z,fix(simple-action-server): info log instead of warn on cancel (#4684),"Cancelling a goal is nominal behavior and therefore it should not log
warning.

Signed-off-by: Rein Appeldoorn <rein.appeldoorn@nobleo.nl>",reinzor,1,1,2
ros-planning/navigation2,771eca41bb7b6ad26856c434dd79e48a399c4601,2024-09-15T22:27:19Z,fix to bt action server logging before bt execution result being ready (#4677),Signed-off-by: DreamWest <sirjamestsao@gmail.com>,DreamWest,3,3,6
ros-planning/navigation2,de4fd7863610fb8aceb44893a9d2368596eaa2a1,2024-09-15T22:26:45Z,fixing path longer on approach (#4622),"* fixing path longer on approach

Signed-off-by: Pradheep <padhupradheep@gmail.com>

* removing the short circuit

Signed-off-by: Pradheep <padhupradheep@gmail.com>

* adding additional layer of check

Signed-off-by: Pradheep <padhupradheep@gmail.com>

---------

Signed-off-by: Pradheep <padhupradheep@gmail.com>",padhupradheep,4,3,7
ros-planning/navigation2,b71cccd8c47d4cb472db1c3a509af3821336933a,2024-09-12T18:08:18Z,Adding planner server timeout for costmap waiting (#4673),"* Adding planner server timeout for costmap waiting

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* Adding controller server's costmap timeout as well

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,46,1,47
ros-planning/navigation2,271d2d60e65167a960f6935d1f3cc7b4d2b0b576,2024-09-12T15:28:07Z,[DWB] Option to limit velocity commands in trajectory generator (#4663),"* Option to limit vel cmd through traj generator

Signed-off-by: huiyulhy <lhyleonghuiyu@gmail.com>

* Cleanup

Signed-off-by: huiyulhy <lhyleonghuiyu@gmail.com>

* fix linting

Signed-off-by: huiyulhy <lhyleonghuiyu@gmail.com>

* Update linting

Signed-off-by: huiyulhy <lhyleonghuiyu@gmail.com>

* uncrustify

Signed-off-by: huiyulhy <lhyleonghuiyu@gmail.com>

* uncrustify

Signed-off-by: huiyulhy <lhyleonghuiyu@gmail.com>

---------

Signed-off-by: huiyulhy <lhyleonghuiyu@gmail.com>",huiyulhy,13,0,13
ros-planning/navigation2,7eb47d84012dd9e25988ce5c9c269280e6ee3dd1,2024-09-10T06:28:02Z,Fixing #4661: MPPI ackermann reversing taking incorrect sign sometimes (#4664),"* Fixing #4661: MPPI ackermann reversing taking incorrect sign sometimes

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* fixing unit test for type implicit cast

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,80,2,82
ros-planning/navigation2,3ab6312ee66de07a3aa77273980f8c379224ccf0,2024-09-04T07:28:45Z,PoseStamped vector specialization (#4607),"* PoseStamped vector specialization

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* merge master

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* add path

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix size check

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* fix test

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Revert ""fix test""

This reverts commit 51f54ebb9bc8af4cab21d46f99cb37e326fd4a3a.

* fix test

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

---------

Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>",tonynajjar,206,12,218
ros-planning/navigation2,34d41ed32745e3978a0c0e30e9795c32ea184e8a,2024-09-03T22:20:36Z,fix(bt_nodes): Correct default `server_timeout` behavior by using `getInputPortOrBlackboard()` (#4649),Signed-off-by: Alan Xue <alan.xuefei@googlemail.com>,alanxuefei,3,9,12
ros-planning/navigation2,1a15d9d3465baba70b2e90e8f6a35b5899d1a87a,2024-08-31T22:15:08Z,Restore exported BT test utils header files after cmake revamp (#4652) (#4654),Signed-off-by: Mike Wake <michael.wake@aosgrp.com.au>,aosmw,4,0,4
ros-planning/navigation2,6d24c7f8c12f9dde3fd6d91a16f0a8c1b139d439,2024-08-29T13:21:04Z,[collision monitor] Select the observation sources used with each polygon (#4227),"* Collision monitor: select specific observation sources for polygon

Signed-off-by: asarazin <anaelle.sarazin@robocc.com>

* optimization

Signed-off-by: asarazin <anaelle.sarazin@robocc.com>

* add tests

Signed-off-by: asarazin <anaelle.sarazin@robocc.com>

---------

Signed-off-by: asarazin <anaelle.sarazin@robocc.com>
Co-authored-by: asarazin <anaelle.sarazin@robocc.com>",anaelle-sw,280,71,351
ros-planning/navigation2,836d37c314ac6f680e91e709e244a99009454926,2024-08-27T17:42:52Z,Publish optimal trajectory as a Path message (#4640),"* Publish optimal trajectory as a Path message

Signed-off-by: Alyssa Agnissan <alyssa.agnissan@quantillion.io>

* move publish_optimal_path to TrajectoryVisualizer + minor refactoring

Signed-off-by: Alyssa Agnissan <alyssa.agnissan@quantillion.io>

* tests added for optimal path publication

Signed-off-by: Alyssa Agnissan <alyssa.agnissan@quantillion.io>

* populate optimal path message in add()

Signed-off-by: Alyssa Agnissan <alyssa.agnissan@quantillion.io>

* move path population in add_marker

Signed-off-by: Alyssa Agnissan <alyssa.agnissan@quantillion.io>

---------

Signed-off-by: Alyssa Agnissan <alyssa.agnissan@quantillion.io>",alyquantillion,103,8,111
ros-planning/navigation2,f9e10241aed28d16f225d7c5b2dd6a3fe0e90ad9,2024-08-26T18:54:03Z,"Adding non-charging dock support to docking server (for conveyers, pallots, etc) (#4627)","* adding non-charging dock support to docking server

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* docs and linting

* adding unit tests

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,839,27,866
ros-planning/navigation2,c38fefd45531af496099d129b9ad5b8f407161be,2024-08-23T17:57:06Z,Various small CMake fixes. (#4643),Signed-off-by: Chris Lalancette <clalancette@gmail.com>,clalancette,30,27,57
ros-planning/navigation2,6bf9d68af4c485c11947114e0e91ea5b0b5efc27,2024-08-22T18:30:14Z,Fix rolling build issue: message filter to hpp from h (#4642),"* Fix rolling build issue: message filter to hpp from h

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* Update amcl_node.hpp

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* Update static_layer.hpp

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* Update obstacle_layer.hpp

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* Update range_sensor_layer.hpp

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* Update voxel_layer.hpp

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,6,6,12
ros-planning/navigation2,8990c05992e7f1d7ea02fc32a5ab4355ed77d3ca,2024-08-22T17:08:11Z,Switch nav2_system_tests to modern CMake idioms. (#4638),Signed-off-by: Chris Lalancette <clalancette@gmail.com>,clalancette,230,224,454
ros-planning/navigation2,226b196a84989d1dffb0d32070d63c823079861d,2024-08-21T20:57:25Z,Fixes for nav2_smac_planner to build with -Werror. (#4635),"* Fixes for nav2_smac_planner to build with -Werror.

Signed-off-by: Chris Lalancette <clalancette@gmail.com>

* Feedback from review.

Signed-off-by: Chris Lalancette <clalancette@gmail.com>

---------

Signed-off-by: Chris Lalancette <clalancette@gmail.com>",clalancette,58,64,122
ros-planning/navigation2,6471f02b6bd73f06b5c96a20d35cb6db0c9f2f6e,2024-08-21T20:51:22Z,adding stamped option for loopbacks im (#4637),Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>,SteveMacenski,21,4,25
ros-planning/navigation2,a63090f0fecea2c2af2d2cfc8f61c1e04080fcef,2024-08-21T20:34:37Z,Update Smac Planner for rounding to closest bin rather than flooring (#4636),,SteveMacenski,9,11,20
